dba_name,postal_code,poi_cbg,visitor_home_cbgs,visitor_daytime_cbgs,naics_description,address,lat,lng,Incoming_Visitor_home_census_blocks,POI_risk_final
IMMERGUT ENTERPRISES,92110,60730065002.0,"{""060610218021"":4,""060730148042"":4,""340170001003"":4,""060650435122"":4,""060590992502"":4,""060730195023"":4,""060650432201"":4}","{""060590762015"":4,""060730136061"":4,""040130405201"":4,""060730195023"":4,""060730094001"":4}",CLOTHING ACCESSORIES STORES,TWIGGS ST,32.75348285,-117.195778,"{'06061021802': 4, '06073014804': 4, '34017000100': 4, '06065043512': 4, '06059099250': 4, '06073019502': 4, '06065043220': 4}",0.3817658422864557
IMPERATIVE RECOVERY,91910,60730127002.0,"{""060730127001"":5,""060670074303"":4,""060730100151"":4,""060730131022"":4,""060730122002"":4,""060730100092"":4,""060730140021"":4,""060730033011"":4,""060730133092"":4,""060730124021"":4,""060730129001"":4,""060730135061"":4,""060730032013"":4,""060730133131"":4,""060730133022"":4,""060730130002"":4,""060730133021"":4,""060730137021"":4,""060730031131"":4,""060730032132"":4,""060730133093"":4,""060730101042"":4,""060730133095"":4,""060730133011"":4}",{},ALL OTHER PERSONAL SERVICES,BROADWAY nan,32.62909000000001,-117.08871000000002,"{'06073012700': 5, '06067007430': 4, '06073010015': 4, '06073013102': 4, '06073012200': 4, '06073010009': 4, '06073014002': 4, '06073003301': 4, '06073013309': 4, '06073012402': 4, '06073012900': 4, '06073013506': 4, '06073003201': 4, '06073013313': 4, '06073013302': 4, '06073013000': 4, '06073013702': 4, '06073003113': 4, '06073003213': 4, '06073010104': 4, '06073013301': 4}",0.9999823858431348
IMPERIAL AUDIO,92102,60730048003.0,"{""060730133111"":4,""060710020142"":4,""060730118012"":4}","{""060730031122"":4}",OTHER AUTOMOTIVE MECHANICAL & ELECTRICAL R&M,IMPERIAL AVE,32.70641684,-117.1365438,"{'06073013311': 4, '06071002014': 4, '06073011801': 4}",0.6286125630157151
IMPERIAL BEACH HAIR LOUNGE,92154,60730101031.0,"{""060730216001"":7,""060373003013"":4,""060730105021"":4,""060730101112"":4,""060730133102"":4,""060730105011"":4,""060730101041"":4,""060730101101"":4,""060730132061"":4}","{""060730101061"":4,""060730101112"":4,""060730101041"":4,""060730133071"":4,""060730100093"":4,""060730133072"":4,""060730218002"":4}","HAIR, NAIL & SKIN CARE SERVICES",SATURN BLVD,32.58424693,-117.0926112,"{'06073021600': 7, '06037300301': 4, '06073010502': 4, '06073010111': 4, '06073013310': 4, '06073010501': 4, '06073010104': 4, '06073010110': 4, '06073013206': 4}",0.9898082773922152
IMPULSE PRODUCTIONS,92117,60730091022.0,"{""060730091041"":10,""060730091022"":7,""060730085094"":4,""060730091034"":4,""060730091014"":4,""060730085123"":4,""060730091012"":4,""060730215001"":4,""060730091013"":4,""060730091061"":4,""060730133071"":4,""060730091042"":4}","{""060730091041"":9,""060730091014"":5,""060730091042"":4,""060730133071"":4,""060730091012"":4,""060730085123"":4,""060730091021"":4,""060730085111"":4,""060730085012"":4,""060730091011"":4,""060730085014"":4,""060730085122"":4}","INDEPENDENT ARTISTS, WRITERS & PERFORMERS",CLAIREMONT DR,32.7967281,-117.1930976,"{'06073009104': 10, '06073009102': 7, '06073008509': 4, '06073009103': 4, '06073009101': 4, '06073008512': 4, '06073021500': 4, '06073009106': 4, '06073013307': 4}",0.92650818145847
IN FASHION INTERNATIONAL INC,92173,60730100151.0,"{""060730100142"":7,""060730030031"":4,""060730213042"":4,""060730139051"":4,""060470016011"":4}","{""060190025023"":5,""060730131043"":5,""060730030031"":4,""060730100151"":4,""060730182002"":4,""060730170223"":4}",MISCELLANEOUS STORE RETAILERS,E SAN YSIDRO BLVD,32.5542692,-117.0554857,"{'06073010014': 7, '06073003003': 4, '06073021304': 4, '06073013905': 4, '06047001601': 4}",0.8554241135465058
INATIONAL CLOSING AND ESCROW INC,92037,60730083611.0,"{""060730083633"":4,""060730083401"":4,""340130170001"":4,""060730083623"":4,""060730134191"":4}","{""340130170001"":4,""060730133082"":4,""060730029021"":4,""060730083132"":4,""060730083611"":4,""060730083052"":4,""060730022023"":4,""060730093053"":4}",OTHER ACTIVITIES RELATED TO REAL ESTATE,VILLA LA JOLLA DR,32.86828197,-117.2335152,"{'06073008363': 4, '06073008340': 4, '34013017000': 4, '06073008362': 4, '06073013419': 4}",0.4150652917547011
INCASE PACKAGING LLC,92110,60730068011.0,"{""060730166171"":4,""060730069001"":4,""060730168074"":4}","{""060730168074"":4,""060730019001"":4,""060730214001"":4}",OTHER MISCELLANEOUS STORE RETAILERS,W POINT LOMA BLVD,32.75467376,-117.2210187,"{'06073016617': 4, '06073006900': 4, '06073016807': 4}",0.4471485879813365
IND 14 CARROLL ROAD LLC,92130,60730083291.0,"{""060730083281"":5,""060730083291"":4}","{""060730170303"":5,""060730098012"":4,""060730083281"":4}",LESSORS OF RESIDENTIAL BUILDINGS & DWELLINGS,HIGH BLUFF DR,32.94736795,-117.240557,"{'06073008328': 5, '06073008329': 4}",0.24433999283017804
INDEPENDA INC,92130,60730083332.0,"{""060730085132"":4,""060730175021"":4,""060730031071"":4}","{""060730170461"":4,""060730104023"":4}",SPECIALIZED DESIGN SERVICES,EL CAMINO REAL nan,32.92749078,-117.237918,"{'06073008513': 4, '06073017502': 4, '06073003107': 4}",0.5432311548388645
INDEPENDENT MOTORCARS,92121,60730083501.0,"{""060730127002"":4,""060730077021"":4,""060250117002"":4}","{""060730032013"":4,""060250117002"":4,""060730127002"":4}",AUTOMOTIVE R&M,AUTOPORT MALL,32.8781338,-117.1837816,"{'06073012700': 4, '06073007702': 4, '06025011700': 4}",0.5553561673813229
INDEV DESIGN INC.,92103,60730060003.0,"{""060730200132"":4}",{},SPECIALIZED DESIGN SERVICES,STATE ST,32.73189923,-117.1698361,{'06073020013': 4},0.12205210567922507
INDEV INC,92103,60730060003.0,"{""060730200132"":4}",{},"BUILDING, DEVELOPING & GENERAL CONTRACTING",STATE ST,32.73189923,-117.1698361,{'06073020013': 4},0.12205210567922507
INDIAN MOTORCYCLE OF EL CAJON,92020,60730158011.0,"{""060730091022"":4,""060730133101"":4}","{""060730027031"":4,""060730154041"":4,""060730133101"":4,""060730166093"":4,""060730098021"":4}",MOTORCYCLE & BOAT & OTHER MV DEALERS,N MAGNOLIA AVE,32.9212659,-117.1165118,"{'06073009102': 4, '06073013310': 4}",0.4551468790993938
INDIAN VIRSA INC,92121,60730083501.0,"{""060730083281"":5,""060730186081"":4,""060650432572"":4,""061110008002"":4,""060730023011"":4}","{""060730083401"":4,""060730186081"":4}",FOOD SERVICES & DRINKING PLACES,MIRAMAR RD,32.8781249,-117.1687207,"{'06073008328': 5, '06073018608': 4, '06065043257': 4, '06111000800': 4, '06073002301': 4}",0.6230507307423928
INDIE YOGA,92107,60730075023.0,"{""060730072002"":4,""060730170502"":4}","{""060730168073"":5,""060730069001"":4}",YOGA STUDIO,BACON ST,32.74610122,-117.25163390000002,"{'06073007200': 4, '06073017050': 4}",0.2316142899429165
INDIGO LADY FASHION,92111,60730085111.0,"{""060730083661"":4,""060730171102"":4,""060730215001"":4,""060730083411"":4,""060590525202"":4,""060374042012"":4,""060730133131"":4,""060730170363"":4,""060730208091"":4,""060730083291"":4}","{""060373116002"":4}",CLOTHING STORES,CLAIREMONT MESA BLVD,32.83265852,-117.155468,"{'06073008366': 4, '06073017110': 4, '06073021500': 4, '06073008341': 4, '06059052520': 4, '06037404201': 4, '06073013313': 4, '06073017036': 4, '06073020809': 4, '06073008329': 4}",0.7018367901257391
INDUSTRIAL GRIND COFFEE,92124,60730095021.0,"{""060730095061"":5,""060730095051"":4,""060730095071"":4,""060730095052"":4}","{""060730093012"":4,""060730085111"":4}",SNACK & NONALCOHOLIC BEVERAGE BARS,SANTO RD,32.83935703,-117.0977769,"{'06073009506': 5, '06073009505': 4, '06073009507': 4}",0.3149494515438533
INDUSTRY TRADING USA LLC,92130,60730083291.0,"{""060730083291"":4}",{},RETAIL TRADE,HIGH BLUFF DR,32.94873805,-117.2405563,{'06073008329': 4},0.11707693678417685
INFINITE ATHLETICISM INC.,92122,60730083412.0,"{""060730100142"":4,""060730065001"":4,""040136159001"":4,""060730083661"":4}","{""320310022052"":4,""060730171062"":4,""060730192053"":4,""060730170291"":4,""060730083404"":4,""060730083391"":4}",FITNESS & RECREATIONAL SPORTS CENTERS,GENESEE AVE,32.5781625,-117.0864148,"{'06073010014': 4, '06073006500': 4, '04013615900': 4, '06073008366': 4}",0.5592468627336353
INFINITY NAILS AND SPA,92123,60730085111.0,"{""060730093061"":4,""060730093063"":4,""060730192051"":4}","{""060730092012"":4,""060730085111"":4,""060730093063"":4,""060730085103"":4}",NAIL SALONS,AERO DR,32.80975053,-117.1409948,"{'06073009306': 4, '06073019205': 4}",0.3648549182156712
INFORMA BUSINESS INTELLIGENCE INC,92122,60730083643.0,"{""060730172001"":4,""060730093043"":4,""060710004041"":4,""060730085034"":4,""320030058421"":4,""060952519013"":4}","{""060730134192"":4,""060730113001"":4,""320030058421"":4,""060730006001"":4,""060375020042"":4}",INFORMATION & DATA PROCESSING SERVICES,NOBEL DR,32.86827811,-117.2279485,"{'06073017200': 4, '06073009304': 4, '06071000404': 4, '06073008503': 4, '32003005842': 4, '06095251901': 4}",0.42534569111508624
INGENUITY CHARTER,92114,60730033042.0,"{""060730135032"":5,""060730030012"":5,""060730031151"":4,""060650427371"":4,""060730161003"":4,""060730033051"":4,""060730166162"":4,""060730219002"":4,""060730100142"":4,""060730030041"":4,""060730033042"":4}","{""060730219002"":4,""060730100142"":4,""060730132062"":4,""060730027023"":4,""060730034012"":4,""060730033041"":4,""060730031013"":4,""060730085111"":4,""060730051002"":4,""060730030012"":4,""060730133113"":4}",BUSINESS TAX EXEMPT - NON PROFIT,EUCLID AVE,32.7090349,-117.08659070000002,"{'06073013503': 5, '06073003001': 5, '06073003115': 4, '06065042737': 4, '06073016100': 4, '06073003305': 4, '06073016616': 4, '06073021900': 4, '06073010014': 4, '06073003004': 4, '06073003304': 4}",0.9881678873538228
INMUNE BIO,92037,60730082002.0,"{""060730178113"":4,""530610532023"":4,""060590525272"":4,""060379200152"":4,""420199124023"":4,""060650420052"":4}","{""060730085061"":4,""040131048011"":4,""530530734044"":4,""060730171071"":4,""060730185143"":4,""132930105003"":4,""060590525272"":4}",SCIENTIFIC R&D SERVICES,PROSPECT ST,32.84892931,-117.27257009999998,"{'06073017811': 4, '53061053202': 4, '06059052527': 4, '06037920015': 4, '42019912402': 4, '06065042005': 4}",0.11190944320232954
INNOPEAK TECHNOLOGY,92130,60730083332.0,"{""060730083331"":6,""060730083353"":4,""060590875033"":4,""060730083302"":4}","{""060374326012"":4,""060730200172"":4}",SCIENTIFIC R&D SERVICES,CARMEL MOUNTAIN RD,32.91859078,-117.2335608,"{'06073008333': 6, '06073008335': 4, '06059087503': 4, '06073008330': 4}",0.3415215436082698
INSIGHT INVESTMENTS,92108,60730093042.0,"{""060650507001"":4,""060730138021"":4,""270530271023"":4}","{""060730053004"":4}",OTHER ACTIVITIES RELATED TO REAL ESTATE,HAZARD CENTER DR,32.77091621,-117.1559666,"{'06065050700': 4, '06073013802': 4, '27053027102': 4}",0.3703774721231087
INSPIRED BY RENOIR,92108,60730087022.0,"{""060730153021"":4,""060730071001"":4}",{},JEWELRY STORES,FRAZEE RD,32.77355429,-117.15850159999998,"{'06073015302': 4, '06073007100': 4}",0.3757605548909199
INSTANT REPLAY,92127,60730170313.0,"{""060730170313"":4,""060730170151"":4,""060730170301"":4,""060730170154"":4,""060730170513"":4,""470650124001"":4}","{""060730170153"":5,""060730075023"":4,""060730170313"":4,""060730170552"":4,""060730170311"":4,""060730170301"":4,""060730170321"":4}",DRINKING PLACES (ALCOHOLIC BEVERAGES),DUENDA RD,33.0330116,-117.0784595,"{'06073017031': 4, '06073017015': 4, '06073017030': 4, '06073017051': 4, '47065012400': 4}",0.3917356251980316
